 kanakAn'gi                 , S R1 G1 M1 P D1 N1 S , S N1 D1 P M1 G1 R1 S
 rathnAn'gi                 , S R1 G1 M1 P D1 N2 S , S N2 D1 P M1 G1 R1 S
 gAnamUrthi                 , S R1 G1 M1 P D1 N3 S , S N3 D1 P M1 G1 R1 S
 vanaspathi                 , S R1 G1 M1 P D2 N2 S , S N2 D2 P M1 G1 R1 S
 mAnavathi                  , S R1 G1 M1 P D2 N3 S , S N3 D2 P M1 G1 R1 S
 thAnarUpi                  , S R1 G1 M1 P D3 N3 S , S N3 D3 P M1 G1 R1 S
 sEnAvathi                  , S R1 G2 M1 P D1 N1 S , S N1 D1 P M1 G2 R1 S
 HanumathOdi                , S R1 G2 M1 P D1 N2 S , S N2 D1 P M1 G2 R1 S
 DhEnukA                    , S R1 G2 M1 P D1 N3 S , S N3 D1 P M1 G2 R1 S
 nAtakapriya                , S R1 G2 M1 P D2 N2 S , S N2 D2 P M1 G2 R1 S
 kOkilapriya                , S R1 G2 M1 P D2 N3 S , S N3 D2 P M1 G2 R1 S
 rUpavathi                  , S R1 G2 M1 P D3 N3 S , S N3 D3 P M1 G2 R1 S
 gAyakapriya                , S R1 G3 M1 P D1 N1 S , S N1 D1 P M1 G3 R1 S
 vakulAbharaNam             , S R1 G3 M1 P D1 N2 S , S N2 D1 P M1 G3 R1 S
 mAyAmALava gowLA           , S R1 G3 M1 P D1 N3 S , S N3 D1 P M1 G3 R1 S
 chakravAkam                , S R1 G3 M1 P D2 N2 S , S N2 D2 P M1 G3 R1 S
 sUryakAntam                , S R1 G3 M1 P D2 N3 S , S N3 D2 P M1 G3 R1 S
 HAtakAmbari                , S R1 G3 M1 P D3 N3 S , S N3 D3 P M1 G3 R1 S
 Jan'kAradhvani             , S R2 G2 M1 P D1 N1 S , S N1 D1 P M1 G2 R2 S
 naTabhairavi               , S R2 G2 M1 P D1 N2 S , S N2 D1 P M1 G2 R2 S
 kIravANi                   , S R2 G2 M1 P D1 N3 S , S N3 D1 P M1 G2 R2 S
 KaraHarapriya              , S R2 G2 M1 P D2 N2 S , S N2 D2 P M1 G2 R2 S
 gowrimanOHari              , S R2 G2 M1 P D2 N3 S , S N3 D2 P M1 G2 R2 S
 varuNapriya                , S R2 G2 M1 P D3 N3 S , S N3 D3 P M1 G2 R2 S
 mAraranjani                , S R2 G3 M1 P D1 N1 S , S N1 D1 P M1 G3 R2 S
 chArukeshi                 , S R2 G3 M1 P D1 N2 S , S N2 D1 P M1 G3 R2 S
 sarasAn'gi                 , S R2 G3 M1 P D1 N3 S , S N3 D1 P M1 G3 R2 S
 HarikAmbhOji               , S R2 G3 M1 P D2 N2 S , S N2 D2 P M1 G3 R2 S
 DhIrashan'karAbharaNam     , S R2 G3 M1 P D2 N3 S , S N3 D2 P M1 G3 R2 S
 nAgAnandhini               , S R2 G3 M1 P D3 N3 S , S N3 D3 P M1 G3 R2 S
 yAgapriya                  , S R3 G3 M1 P D1 N1 S , S N1 D1 P M1 G3 R3 S
 rAgavarDhani               , S R3 G3 M1 P D1 N2 S , S N2 D1 P M1 G3 R3 S
 gAn'geyabhushani           , S R3 G3 M1 P D1 N3 S , S N3 D1 P M1 G3 R3 S
 vAgaDhIsvari               , S R3 G3 M1 P D2 N2 S , S N2 D2 P M1 G3 R3 S
 shUlini                    , S R3 G3 M1 P D2 N3 S , S N3 D2 P M1 G3 R3 S
 chalanAta                  , S R3 G3 M1 P D3 N3 S , S N3 D3 P M1 G3 R3 S
 sAlagam                    , S R1 G1 M2 P D1 N1 S , S N1 D1 P M2 G1 R1 S
 jalArnavam                 , S R1 G1 M2 P D1 N2 S , S N2 D1 P M2 G1 R1 S
 JAlavarALi                 , S R1 G1 M2 P D1 N3 S , S N3 D1 P M2 G1 R1 S
 navanItham                 , S R1 G1 M2 P D2 N2 S , S N2 D2 P M2 G1 R1 S
 pAvani                     , S R1 G1 M2 P D2 N3 S , S N3 D2 P M2 G1 R1 S
 raGupriya                  , S R1 G1 M2 P D3 N3 S , S N3 D3 P M2 G1 R1 S
 gavAmbodhi                 , S R1 G2 M2 P D1 N1 S , S N1 D1 P M2 G2 R1 S
 bhavapriya                 , S R1 G2 M2 P D1 N2 S , S N2 D1 P M2 G2 R1 S
 shubhapanthuvarALi         , S R1 G2 M2 P D1 N3 S , S N3 D1 P M2 G2 R1 S
 shadhvidha mArgiNi         , S R1 G2 M2 P D2 N2 S , S N2 D2 P M2 G2 R1 S
 suvarNAn'gi                , S R1 G2 M2 P D2 N3 S , S N3 D2 P M2 G2 R1 S
 dhivyAmaNi                 , S R1 G2 M2 P D3 N3 S , S N3 D3 P M2 G2 R1 S
 dhavalAmbari               , S R1 G3 M2 P D1 N1 S , S N1 D1 P M2 G3 R1 S
 nAmanArAyaNi               , S R1 G3 M2 P D1 N2 S , S N2 D1 P M2 G3 R1 S
 kAmavardhini               , S R1 G3 M2 P D1 N3 S , S N3 D1 P M2 G3 R1 S
 rAmapriya                  , S R1 G3 M2 P D2 N2 S , S N2 D2 P M2 G3 R1 S
 gamanashrama               , S R1 G3 M2 P D2 N3 S , S N3 D2 P M2 G3 R1 S
 vishvAmbhari               , S R1 G3 M2 P D3 N3 S , S N3 D3 P M2 G3 R1 S
 shyAmaLAngi                , S R2 G2 M2 P D1 N1 S , S N1 D1 P M2 G2 R2 S
 shanmuKapriya              , S R2 G2 M2 P D1 N2 S , S N2 D1 P M2 G2 R2 S
 simHendra madhyamam        , S R2 G2 M2 P D1 N3 S , S N3 D1 P M2 G2 R2 S
 HemAvathi                  , S R2 G2 M2 P D2 N2 S , S N2 D2 P M2 G2 R2 S
 DharmAvathi                , S R2 G2 M2 P D2 N3 S , S N3 D2 P M2 G2 R2 S
 nIthimathi                 , S R2 G2 M2 P D3 N3 S , S N3 D3 P M2 G2 R2 S
 kAnthAmaNi                 , S R2 G3 M2 P D1 N1 S , S N1 D1 P M2 G3 R2 S
 rishabhapriya              , S R2 G3 M2 P D1 N2 S , S N2 D1 P M2 G3 R2 S
 lathAngi                   , S R2 G3 M2 P D1 N3 S , S N3 D1 P M2 G3 R2 S
 vAchaspathi                , S R2 G3 M2 P D2 N2 S , S N2 D2 P M2 G3 R2 S
 mEchakalyANi               , S R2 G3 M2 P D2 N3 S , S N3 D2 P M2 G3 R2 S
 chithrAmbari               , S R2 G3 M2 P D3 N3 S , S N3 D3 P M2 G3 R2 S
 sucharithra                , S R3 G3 M2 P D1 N1 S , S N1 D1 P M2 G3 R3 S
 jyothisvarUpiNi            , S R3 G3 M2 P D1 N2 S , S N2 D1 P M2 G3 R3 S
 dhAtuvardhani              , S R3 G3 M2 P D1 N3 S , S N3 D1 P M2 G3 R3 S
 nAsika bhUshaNi            , S R3 G3 M2 P D2 N2 S , S N2 D2 P M2 G3 R3 S
 kosalam                    , S R3 G3 M2 P D2 N3 S , S N3 D2 P M2 G3 R3 S
 rasikapriya                , S R3 G3 M2 P D3 N3 S , S N3 D3 P M2 G3 R3 S
