kanakAn'gi,R1 G1 P S M1 N1 D1
rathnAn'gi,R1 G1 P S M1 N2 D1
gAnamUrthi,R1 G1 P S M1 N3 D1
vanaspathi,R1 G1 P S M1 N2 D2
mAnavathi,R1 G1 P S M1 N3 D2
thAnarUpi,R1 G1 P S M1 N3 D3
sEnAvathi,G2 P S M1 N1 D1 R1
HanumathOdi,R1 P S M1 N2 D1 G2
DhEnukA,R1 D1 P S M1 N3 G2
nAtakapriya,R1 P S M1 N2 D2 G2
kOkilapriya,R1 P S M1 N3 D2 G2
rUpavathi,R1 P S M1 N3 D3 G2
gAyakapriya,G3 R1 P S M1 N1 D1
vakulAbharaNam,G3 R1 P S M1 N2 D1
mAyAmALava gowLA,G3 R1 P S M1 N3 D1
chakravAkam,G3 R1 P S M1 N2 D2
sUryakAntam,G3 R1 P S M1 N3 D2
HAtakAmbari,G3 R1 P S M1 N3 D3
Jan'kAradhvani,G2 R2 P S M1 N1 D1
naTabhairavi,G2 R2 P S M1 N2 D1
kIravANi,G2 R2 P S M1 N3 D1
KaraHarapriya,G2 R2 P S M1 N2 D2
gowrimanOHari,G2 R2 P S M1 N3 D2
varuNapriya,G2 R2 P S M1 N3 D3
mAraranjani,G3 R2 P S M1 N1 D1
chArukeshi,G3 R2 P S M1 N2 D1
sarasAn'gi,G3 R2 P S M1 N3 D1
HarikAmbhOji,G3 R2 P S M1 N2 D2
DhIrashan'karAbharaNam,G3 R2 P S M1 N3 D2
nAgAnandhini,G3 R2 P S M1 N3 D3
yAgapriya,G3 R3 P S M1 N1 D1
rAgavarDhani,G3 R3 P S M1 N2 D1
gAn'geyabhushani,G3 R3 P S M1 N3 D1
vAgaDhIsvari,G3 R3 P S M1 N2 D2
shUlini,G3 R3 P S M1 N3 D2
chalanAta,G3 R3 P S M1 N3 D3
sAlagam,R1 G1 P S M2 N1 D1
jalArnavam,R1 G1 P S M2 N2 D1
JAlavarALi,R1 G1 P S M2 N3 D1
navanItham,R1 G1 P S M2 N2 D2
pAvani,R1 G1 P S M2 N3 D2
raGupriya,R1 G1 P S M2 N3 D3
gavAmbodhi,G2 P S M2 N1 D1 R1
bhavapriya,G2 P S M2 N2 D1 R1
shubhapanthuvarALi,G2 D1 P S M2 N3 R1
shadhvidha mArgiNi,R1 P S M2 N2 D2 G2
suvarNAn'gi,R1 P S M2 N3 D2 G2
dhivyAmaNi,R1 P S M2 N3 D3 G2
dhavalAmbari,G3 R1 P S M2 N1 D1
nAmanArAyaNi,G3 R1 P S M2 N2 D1
kAmavardhini,G3 R1 P S M2 N3 D1
rAmapriya,G3 R1 P S M2 N2 D2
gamanashrama,G3 R1 P S M2 N3 D2
vishvAmbhari,G3 R1 P S M2 N3 D3
shyAmaLAngi,G2 R2 P S M2 N1 D1
shanmuKapriya,G2 R2 P S M2 N2 D1
simHendra madhyamam,G2 R2 P S M2 N3 D1
HemAvathi,G2 R2 P S M2 N2 D2
DharmAvathi,G2 R2 P S M2 N3 D2
nIthimathi,G2 R2 P S M2 N3 D3
kAnthAmaNi,G3 R2 P S M2 N1 D1
rishabhapriya,G3 R2 P S M2 N2 D1
lathAngi,G3 R2 P S M2 N3 D1
vAchaspathi,G3 R2 P S M2 N2 D2
mEchakalyANi,G3 R2 P S M2 N3 D2
chithrAmbari,G3 R2 P S M2 N3 D3
sucharithra,G3 R3 P S M2 N1 D1
jyothisvarUpiNi,G3 R3 P S M2 N2 D1
dhAtuvardhani,G3 R3 P S M2 N3 D1
nAsika bhUshaNi,G3 R3 P S M2 N2 D2
kosalam,G3 R3 P S M2 N3 D2
rasikapriya,G3 R3 P S M2 N3 D3
